datetime,user,passRaw,identifier,subject,dataType,encrypted,suffix,errorType,errorDetails
2025-07-15_18-14,llaplace,1,sub-3000015_all_digi_s3_r1_e1,3000015,digi,1,s3_r1,,
2025-07-15_18-14,llaplace,1,sub-3000015_all_eeg_s1_r1_e1,3000015,eeg,0,s1_r1,,
2025-07-15_18-14,llaplace,1,sub-3000015_all_eeg_s2_r1_e1,3000015,eeg,0,s2_r1,,
2025-07-15_18-14,llaplace,1,sub-3000015_all_eeg_s3_r1_e1,3000015,eeg,0,s3_r1,,
2025-07-15_18-14,llaplace,1,sub-3000015_all_zoom_s1_r1_e1,3000015,zoom,1,s1_r1,,
2025-07-15_18-14,llaplace,1,sub-3000015_all_zoom_s2_r1_e1,3000015,zoom,1,s2_r1,,
2025-07-15_18-14,llaplace,1,sub-3000015_all_zoom_s3_r1_e1,3000015,zoom,1,s3_r1,,
2025-07-15_18-14,llaplace,1,sub-3000015_arrow-alert-v1-1_psychopy_s1_r1_e1,3000015,psychopy,0,s1_r1,,
2025-07-15_18-14,llaplace,1,sub-3000015_arrow-alert-v1-2_psychopy_s2_r1_e1,3000015,psychopy,0,s2_r1,,
2025-07-15_18-14,llaplace,1,sub-3000015_arrow-alert-v1-2_psychopy_s3_r1_e1,3000015,psychopy,0,s3_r1,,
2025-07-15_18-14,llaplace,1,sub-3000019_all_audacity_s1_r1_e1,3000019,audacity,1,s1_r1,,
2025-07-15_18-14,llaplace,1,sub-3000019_all_audacity_s2_r1_e1,3000019,audacity,1,s2_r1,,
2025-07-15_18-14,llaplace,1,sub-3000019_all_audacity_s3_r1_e1,3000019,audacity,1,s3_r1,,
2025-07-15_18-14,llaplace,1,sub-3000019_all_digi_s1_r1_e1,3000019,digi,1,s1_r1,,
2025-07-15_18-14,llaplace,1,sub-3000019_all_digi_s2_r1_e1,3000019,digi,1,s2_r1,,
2025-07-15_18-14,llaplace,1,sub-3000019_all_digi_s3_r1_e1,3000019,digi,1,s3_r1,,
2025-07-15_18-14,llaplace,1,sub-3000019_all_eeg_s1_r1_e1,3000019,eeg,0,s1_r1,,
2025-07-15_18-14,llaplace,1,sub-3000019_all_eeg_s2_r1_e1,3000019,eeg,0,s2_r1,,
2025-07-15_18-14,llaplace,1,sub-3000019_all_eeg_s3_r1_e1,3000019,eeg,0,s3_r1,,
2025-07-15_18-14,llaplace,1,sub-3000019_all_zoom_s1_r1_e1,3000019,zoom,1,s1_r1,,
2025-07-15_18-14,llaplace,1,sub-3000019_all_zoom_s2_r1_e1,3000019,zoom,1,s2_r1,,
2025-07-15_18-14,llaplace,1,sub-3000019_all_zoom_s3_r1_e1,3000019,zoom,1,s3_r1,,
2025-07-15_18-14,llaplace,1,sub-3000019_arrow-alert-v1-2_psychopy_s1_r1_e1,3000019,psychopy,0,s1_r1,,
2025-07-15_18-14,llaplace,1,sub-3000019_arrow-alert-v1-2_psychopy_s2_r1_e1,3000019,psychopy,0,s2_r1,,
2025-07-15_18-14,llaplace,1,sub-3000019_arrow-alert-v1-2_psychopy_s3_r1_e1,3000019,psychopy,0,s3_r1,,
2025-07-15_18-14,llaplace,1,sub-3000020_all_audacity_s1_r1_e1,3000020,audacity,1,s1_r1,,
2025-07-15_18-14,llaplace,1,sub-3000020_all_audacity_s2_r1_e1,3000020,audacity,1,s2_r1,,
2025-07-15_18-14,llaplace,1,sub-3000020_all_audacity_s3_r1_e1,3000020,audacity,1,s3_r1,,
2025-07-15_18-14,llaplace,1,sub-3000020_all_digi_s1_r1_e1,3000020,digi,1,s1_r1,,
2025-07-15_18-14,llaplace,1,sub-3000020_all_digi_s2_r1_e1,3000020,digi,1,s2_r1,,
2025-07-15_18-14,llaplace,1,sub-3000020_all_digi_s3_r1_e1,3000020,digi,1,s3_r1,,
2025-07-15_18-14,llaplace,1,sub-3000020_all_eeg_s1_r1_e1,3000020,eeg,0,s1_r1,,
2025-07-15_18-14,llaplace,1,sub-3000020_all_eeg_s2_r1_e1,3000020,eeg,0,s2_r1,,
2025-07-15_18-14,llaplace,1,sub-3000020_all_eeg_s3_r1_e1,3000020,eeg,0,s3_r1,,
2025-07-15_18-14,llaplace,1,sub-3000020_all_zoom_s1_r1_e1,3000020,zoom,1,s1_r1,,
2025-07-15_18-14,llaplace,1,sub-3000020_all_zoom_s2_r1_e1,3000020,zoom,1,s2_r1,,
2025-07-15_18-14,llaplace,1,sub-3000020_all_zoom_s3_r1_e1,3000020,zoom,1,s3_r1,,
